classification,caption,level_code,table_type,columns
AC,AC-01: annual rates of pay (in dollars),AC-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AC,AC-01: annual rates of pay (in dollars) – continued,AC-01,STEP_CONTINUATION,"Effective date, Step 9, Step 10, Step 11, Step 12, Step 13, Step 14, Step 15, Step 16"
AC,AC-02: annual rates of pay (in dollars),AC-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
AC,AC-02: annual rates of pay (in dollars) – continued,AC-02,STEP_CONTINUATION,"Effective date, Step 6, Step 7, Step 8, Step 9, Step 10"
AC,AC-03: annual rates of pay (in dollars),AC-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
AC,AC-03: annual rates of pay (in dollars) – continued,AC-03,STEP_CONTINUATION,"Effective date, Step 6, Step 7, Step 8, Step 9, Step 10"
AG,AG-01: annual rates of pay (in dollars),AG-01,STEP,"Effective date, Range/Step 1table AG note *, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AG,AG-02: annual rates of pay (in dollars),AG-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AG,AG-03: annual rates of pay (in dollars),AG-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AG,AG-04: annual rates of pay (in dollars),AG-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
AG,AG-05: annual rates of pay (in dollars),AG-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
AI,AI-01: annual rates of pay (in dollars),AI-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AI,AI-01: annual rates of pay (in dollars) (continuation),AI-01,STEP,"Effective date, Step 9, Step 10"
AI,AI-02: annual rates of pay (in dollars),AI-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AI,AI-02: annual rates of pay (in dollars) (continuation),AI-02,STEP,"Effective date, Step 9, Step 10"
AI,AI-03: annual rates of pay (in dollars),AI-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
AI,AI-03: annual rates of pay (in dollars) (continuation),AI-03,STEP,"Effective date, Step 9, Step 10"
AI,AI-04: annual rates of pay (in dollars),AI-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AI,AI-04: annual rates of pay (in dollars) (continuation),AI-04,STEP,"Effective date, Step 8, Step 9"
AI,AI-05: annual rates of pay (in dollars),AI-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AI,AI-05: annual rates of pay (in dollars) (continuation),AI-05,STEP,"Effective date, Step 8, Step 9"
AI,AI-06: annual rates of pay (in dollars),AI-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AI,AI-06: annual rates of pay (in dollars) (continuation),AI-06,STEP,"Effective date, Step 8, Step 9"
AI,AI-07: annual rates of pay (in dollars),AI-07,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AI,AI-07: annual rates of pay (in dollars) (continuation),AI-07,STEP,"Effective date, Step 8, Step 9"
AO,CAI-01: annual rates of pay (in dollars),CAI-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
AO,CAI-02: annual rates of pay (in dollars),CAI-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,CAI-03: annual rates of pay (in dollars),CAI-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,CAI-04: annual rates of pay (in dollars),CAI-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,CAI-05: annual rates of pay (in dollars),CAI-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,ETP-01: annual rates of pay (in dollars),ETP-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,HPS-01: annual rates of pay (in dollars),HPS-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,HPS-02: annual rates of pay (in dollars),HPS-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AO,HPS-03: annual rates of pay (in dollars),HPS-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
AR,,,NO_HEADING,
AS,AS – Development – annual rates of pay (in dollars),,OTHER,"Effective date, Range / Step 1"
AS,AS‐1 – Annual rates of pay (in dollars),AS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
AS,AS‐2 – Annual rates of pay (in dollars),AS-2,STEP,"Effective date, Step 1, Step 2, Step 3"
AS,AS‐3 – Annual rates of pay (in dollars),AS-3,STEP,"Effective date, Step 1, Step 2, Step 3"
AS,AS‐4 – Annual rates of pay (in dollars),AS-4,STEP,"Effective date, Step 1, Step 2, Step 3"
AS,AS‐5 – Annual rates of pay (in dollars),AS-5,STEP,"Effective date, Step 1, Step 2, Step 3"
AS,AS‐6 – Annual rates of pay (in dollars),AS-6,STEP,"Effective date, Step 1, Step 2, Step 3"
AS,AS‐7 – Annual rates of pay (in dollars),AS-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
AS,AS‐8 – Annual rates of pay (in dollars),AS-8,RANGE,"Effective date, Range"
BI,BI-01: annual rates of pay (in dollars),BI-01,STEP,"Effective date, Range/Step 1table BI note *, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
BI,BI-02: annual rates of pay (in dollars),BI-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
BI,BI-03: annual rates of pay (in dollars),BI-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
BI,BI-04: annual rates of pay (in dollars),BI-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
BI,BI-05: annual rates of pay (in dollars),BI-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CH,CH-01: annual rates of pay (in dollars),CH-01,STEP,"Effective date, Range/Step 1table CH note *, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CH,CH-02: annual rates of pay (in dollars),CH-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
CH,CH-03: annual rates of pay (in dollars),CH-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
CH,CH-04: annual rates of pay (in dollars),CH-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CH,CH-05: annual rates of pay (in dollars),CH-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CM,CM‐1 – Annual rates of pay (in dollars),CM-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CM,CM‐2 – Annual rates of pay (in dollars),CM-2,STEP,"Effective date, Step 1, Step 2, Step 3"
CM,CM‐3 – Annual rates of pay (in dollars),CM-3,STEP,"Effective date, Step 1, Step 2, Step 3"
CM,CM‐4 – Annual rates of pay (in dollars),CM-4,STEP,"Effective date, Step 1, Step 2, Step 3"
CM,CM‐5 – Annual rates of pay (in dollars),CM-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CM,CM‐6 – Annual rates of pay (in dollars),CM-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CM,CM‐7 – Annual rates of pay (in dollars),CM-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CO,CO-DEV/PER: annual rates of pay (in dollars),,RANGE,"Effective date, Range"
CO,CO-01: annual rates of pay (in dollars),CO-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
CO,CO-02: annual rates of pay (in dollars),CO-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CO,CO-02: annual rates of pay (in dollars) (continued),CO-02,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9"
CO,CO-03: annual rates of pay (in dollars),CO-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CO,CO-04: annual rates of pay (in dollars),CO-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CR,CR‐1 – Annual rates of pay (in dollars),CR-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
CR,CR-2 – Annual rates of pay (in dollars),CR-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CR,CR‐3 – Annual rates of pay (in dollars),CR-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CR,CR‐4 – Annual rates of pay (in dollars),CR-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CR,CR‐5 – Annual rates of pay (in dollars),CR-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CR,CR‐6 – Annual rates of pay (in dollars),CR-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CR,CR‐7 – Annual rates of pay (in dollars),CR-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
CT,FI: Development – annual rates of pay (in dollars),,OTHER,"Effective date, Range / Step 1"
CT,CT-FIN: Development – annual rates of pay (in dollars),,OTHER,"Effective date, Range / Step 1"
CT,FI-01: annual rates of pay (in dollars),FI-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,CT-FIN-01: annual rates of pay (in dollars),CT-FIN-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,FI-02: annual rates of pay (in dollars),FI-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,CT-FIN-02: annual rates of pay (in dollars),CT-FIN-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,FI-03: annual rates of pay (in dollars),FI-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,CT-FIN-03: annual rates of pay (in dollars),CT-FIN-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,FI-04: annual rates of pay (in dollars),FI-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CT,CT-FIN-04: annual rates of pay (in dollars),CT-FIN-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
CX,CX-1,CX-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
CX,CX-2,CX-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
CX,CX-3,CX-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DA,DA‐CON‐1 – Annual rates of pay (in dollars),DA-CON-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
DA,DA‐CON‐1 – Annual rates of pay (in dollars) (continued),DA-CON-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10"
DA,DA-CON-2 – Annual rates of pay (in dollars),DA-CON-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
DA,DA‐CON‐3 – Annual rates of pay (in dollars),DA-CON-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,DA‐CON‐4 – Annual rates of pay (in dollars),DA-CON-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,DA‐CON‐5 – Annual rates of pay (in dollars),DA-CON-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,DA‐CON‐6 – Annual rates of pay (in dollars),DA-CON-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,DA‐CON‐7 – Annual rates of pay (in dollars),DA-CON-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,DA‐CON‐8 – Annual rates of pay (in dollars),DA-CON-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
DA,Special level C – Annual rates of pay (in dollars),,STEP,"Effective date, Step 1"
DA,DA‐PRO‐1 – Annual rates of pay (in dollars),DA-PRO-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
DA,DA‐PRO‐1 – Annual rates of pay (in dollars) (continued),DA-PRO-1,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11, Step 12"
DA,DA‐PRO‐2 – Annual rates of pay (in dollars),DA-PRO-2,STEP,"Effective date, Step 1, Step 2, Step 3"
DA,DA‐PRO‐3 – Annual rates of pay (in dollars),DA-PRO-3,STEP,"Effective date, Step 1, Step 2, Step 3"
DA,DA‐PRO‐4 – Annual rates of pay (in dollars),DA-PRO-4,STEP,"Effective date, Step 1, Step 2, Step 3"
DA,DA‐PRO‐5 – Annual rates of pay (in dollars),DA-PRO-5,STEP,"Effective date, Step 1, Step 2, Step 3"
DA,DA‐PRO‐6 – Annual rates of pay (in dollars),DA-PRO-6,STEP,"Effective date, Step 1, Step 2, Step 3"
DA,DA‐PRO‐7 – Annual rates of pay (in dollars),DA-PRO-7,STEP,"Effective date, Step 1, Step 2, Step 3"
DD,DD-1 – Steps 1 to 5,DD-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-1 – Steps 6 to 8,DD-1,STEP_CONTINUATION,"Effective date, Step 6, Step 7, Step 8"
DD,DD-2 – Steps 1 to 5,DD-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-2 – Steps 6 to 8,DD-2,STEP_CONTINUATION,"Effective date, Step 6, Step 7, Step 8"
DD,DD-3,DD-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-4 - Steps 1 to 5,DD-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-4 - Steps 6 to 7,DD-4,STEP_CONTINUATION,"Effective date, Step 6, Step 7"
DD,DD-5,DD-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-6,DD-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-7,DD-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-8,DD-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DD,DD-9,DD-9,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DE,DE-1: annual rates of pay (in dollars),DE-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
DE,DE-2: annual rates of pay (in dollars),DE-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
DE,DE-3: annual rates of pay (in dollars),DE-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
DS,DS-1: annual rates of pay (in dollars),DS-1,OTHER,"Effective date, Range / Step 1"
DS,DS-2: annual rates of pay (in dollars),DS-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
DS,DS-3: annual rates of pay (in dollars),DS-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
DS,DS-4: annual rates of pay (in dollars),DS-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
DS,DS-4: annual rates of pay (in dollars) (continued),DS-4,STEP_CONTINUATION,"Effective date, Step 9, Step 10, Step 11, Step 12, Step 13"
DS,DS-5: annual rates of pay (in dollars),DS-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
DS,DS-5: annual rates of pay (in dollars) (continued),DS-5,STEP_CONTINUATION,"Effective date, Step 9, Step 10"
DS,DS-6: annual rates of pay (in dollars),DS-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
DS,DS-7: annual rates of pay (in dollars),DS-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EAV,AU-01: annual rates of pay (in dollars),AU-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
EAV,CT-EAV-01: annual rates of pay (in dollars),CT-EAV-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
EAV,AU-02: annual rates of pay (in dollars),AU-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
EAV,CT-EAV-02: annual rates of pay (in dollars),CT-EAV-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
EAV,AU-03: annual rates of pay (in dollars),AU-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,CT-EAV-03: annual rates of pay (in dollars),CT-EAV-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,AU-04: annual rates of pay (in dollars),AU-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,CT-EAV-04: annual rates of pay (in dollars),CT-EAV-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,AU-05: annual rates of pay (in dollars),AU-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,CT-EAV-05: annual rates of pay (in dollars),CT-EAV-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,AU-06: annual rates of pay (in dollars),AU-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EAV,CT-EAV-06: annual rates of pay (in dollars),CT-EAV-06,STEP,"Effective Date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EC,,,NO_HEADING,
